"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,2,"Fabricación de sustancias químicas",20,22.88,"Febrero"
2007,2,"Imprentas y editoriales",18,20.13,"Febrero"
2007,2,"Industrias básicas de hierro y acero",24,6.05,"Febrero"
2007,2,"Industrias manufactureras diversas",32,22.64,"Febrero"
2007,2,"Ingeniería civil",42,5.33,"Febrero"
2007,2,"Investigación y desarrollo científico",72,57.94,"Febrero"
2007,2,"Juegos de azar, apuestas",92,47.89,"Febrero"
2007,2,"Otras actividades profesionales, científicas y técnicas",74,33.84,"Febrero"
2007,2,"Otras industrias extractivas",8,6.84,"Febrero"
2007,2,"Otros servicios personales",96,43.03,"Febrero"
2007,2,"Pesca y acuicultura",3,15.08,"Febrero"
2007,2,"Programación y radiodifusión",60,26.72,"Febrero"
2007,2,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.66,"Febrero"
2007,2,"Reparación de computadoras y equipos de uso doméstico",95,16.72,"Febrero"
2007,2,"Reparacion de maquinaria y equipo",33,8.37,"Febrero"
2007,2,"Servicio de correo y mensajería",53,13.62,"Febrero"
2007,2,"Servicios a edificios y actividades de jardinería",81,47.46,"Febrero"
2007,2,"Servicios artísticos y de espectáculos",90,35.3,"Febrero"
2007,2,"Servicios audiovisuales",59,40.64,"Febrero"
2007,2,"Servicios auxiliares de la actividad financiera y de seguros",66,48.91,"Febrero"
2007,2,"Servicios de alojamiento",55,53.98,"Febrero"
2007,2,"Servicios de arquitectura e ingeniería",71,13.8,"Febrero"
2007,2,"Servicios de asociaciones",94,47.52,"Febrero"
2007,2,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.41,"Febrero"
2007,2,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,11.02,"Febrero"
2007,2,"Servicios de expendio de alimentos y bebidas",56,36.75,"Febrero"
2007,2,"Servicios de obtención y dotación de personal",78,26.49,"Febrero"
2007,2,"Servicios de programación, consultoría informática y actividades conexas",62,31.4,"Febrero"
2007,2,"Servicios de publicidad e investigación de mercado",73,47.7,"Febrero"
2007,2,"Servicios de salud humana",86,71.54,"Febrero"
2007,2,"Servicios de seguros, reaseguros y pensiones",65,51.72,"Febrero"
2007,2,"Servicios financieros (excepto seguros y pensiones)",64,44.21,"Febrero"
2007,2,"Servicios inmobiliarios",68,32.97,"Febrero"
2007,2,"Servicios jurídicos y de contabilidad",69,65.57,"Febrero"
