"anio","clae2_desc","clae2","porc_medio"
2009,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.12
2009,"Reparación de computadoras y equipos de uso doméstico",95,17.5
2009,"Reparacion de maquinaria y equipo",33,8.72
2009,"Servicio de correo y mensajería",53,12.81
2009,"Servicios a edificios y actividades de jardinería",81,51.75
2009,"Servicios artísticos y de espectáculos",90,33.99
2009,"Servicios audiovisuales",59,41.1
2009,"Servicios auxiliares de la actividad financiera y de seguros",66,50.09
2009,"Servicios de alojamiento",55,54.07
2009,"Servicios de arquitectura e ingeniería",71,15.88
2009,"Servicios de asociaciones",94,48.39
2009,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.87
2009,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,12.79
2009,"Servicios de expendio de alimentos y bebidas",56,39.63
2009,"Servicios de obtención y dotación de personal",78,28.6
2009,"Servicios de programación, consultoría informática y actividades conexas",62,30.56
2009,"Servicios de publicidad e investigación de mercado",73,47.54
2009,"Servicios de salud humana",86,71.7
2009,"Servicios de seguros, reaseguros y pensiones",65,51.14
2009,"Servicios financieros (excepto seguros y pensiones)",64,46
2009,"Servicios inmobiliarios",68,34.11
2009,"Servicios jurídicos y de contabilidad",69,67.97
2009,"Servicios sin alojamiento",88,76.15
2009,"Servicios sociales con alojamiento",87,87.17
2009,"Servicios veterinarios",75,47.85
2009,"Servicios y asesoramiento de dirección y gestión empresarial",70,36.39
2009,"Silvicultura y explotación forestal",2,6.46
2009,"Sin clasificar",999999,23.26
2009,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.47
2009,"Telecomunicaciones",61,37.27
2009,"Transporte aéreo",51,40.43
2009,"Transporte marítimo y pluvial",50,16.5
2009,"Transporte terrestre y por tuberías",49,5.42
2009,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,15.21
2010,"Actividades administrativas de oficinas y empresas",82,45.06
2010,"Actividades de apoyo a la minería",9,5.63
2010,"Actividades de construcción especializada",43,5.91
2010,"Actividades de investigación y seguridad",80,9.58
2010,"Actividades de organismos extraterritoriales",99,54.81
2010,"Actividades de procesamiento de información",63,39.62
2010,"Actividades deportivas, recreativas y de entretenimiento",93,31.52
2010,"Administración pública, defensa y seguridad social",84,48.19
2010,"Agencias de viajes, servicios de reservas y actividades conexas",79,53.6
2010,"Agricultura, ganadería, caza y servicios relacionados",1,11.33
2010,"Almacenamiento y logística",52,16.23
2010,"Alquiler y leasing",77,16.67
2010,"Captación, depuración y distribución de agua",36,18.86
2010,"Comercio al por mayor excepto autos y motos",46,24.78
